# index, name, Allegiances, Ethnicity, Territories, _pos
0,Bo-Gars,1,2,2,"array([5.17628823, 0.8248377 ])"
1,BMF,1,1,2,"array([5.10662948, 0.88283048])"
2,Green_Land,1,5,2,"array([5.33528647, 0.99803371])"
3,Lg Side,1,3,2,"array([5.19051482, 1.11791674])"
4,Plan riel,1,5,2,"array([5.48667493, 0.82042871])"
5,18th,1,1,2,"array([5.05260705, 0.93133994])"
6,187,1,2,2,"array([5.04023911, 0.72605963])"
7,AYB.2,1,4,99,"array([4.96342506, 0.79063884])"
8,AYB,1,4,3,"array([4.90064309, 0.92973042])"
9,Uptown_Posse,1,2,3,"array([4.90115029, 0.84549603])"
10,Dangerous_Street,2,2,2,"array([5.02351874, 1.14905654])"
11,DPC,2,2,2,"array([4.92277275, 1.00165193])"
12,J.O.K.E.R.S,2,2,2,"array([4.99224711, 0.88742275])"
13,Pie-IX,2,2,2,"array([4.99225904, 1.03581114])"
14,Px-80,2,2,2,"array([5.09459016, 1.08028253])"
15,50 Niggaz,1,2,2,"array([5.14715249, 1.01357267])"
16,13th,2,1,2,"array([5.13699631, 0.94726297])"
17,67,2,2,2,"array([5.2282768, 0.9960218])"
18,99,2,2,2,"array([5.22276609, 0.8837775 ])"
19,146,2,5,2,"array([5.49631952, 0.96506095])"
20,Black_Dragons,3,4,1,"array([4.70364676, 0.90739923])"
21,Outlaws,3,2,1,"array([5.35775624, 0.60281247])"
22,South_Side,2,2,1,"array([5.05812592, 1.00805034])"
23,White_Tigers,3,4,1,"array([4.73836257, 1.05159879])"
24,Motard,3,5,1,"array([4.82259835, 0.73571842])"
25,Bronx,99,99,3,"array([5.81052932, 1.07699732])"
26,LPE,99,99,3,"array([5.29089251, 1.5396128 ])"
27,PSC,99,99,3,"array([5.20171002, 1.70520247])"
28,St.Henri,99,99,3,"array([5.03686491, 1.57743797])"
29,V_Block,99,99,3,"array([5.64963409, 1.3889136 ])"
30,47,2,2,99,"array([5.31230073, 0.90231506])"
31,Blue_Devil.1,2,2,99,"array([5.15844284, 0.67809739])"
32,Blue_Devil.2,2,2,99,"array([5.24808425, 0.74643546])"
33,RTC,2,2,2,"array([5.10345847, 0.79950985])"
34,Ve_Crew,3,3,3,"array([5.16747413, 1.58806927])"
