source,target,weight
0,1,1
0,2,3
0,3,1
0,4,1
0,5,1
0,6,4
0,7,1
0,8,1
0,9,4
0,10,1
0,11,1
0,12,2
0,13,2
0,14,2
0,15,2
0,16,1
0,17,1
0,18,1
0,19,1
0,20,1
0,21,1
0,22,1
0,23,2
0,24,2
0,25,1
0,26,1
0,27,1
0,28,1
0,29,1
1,2,1
2,3,1
2,4,1
2,6,3
2,7,1
2,8,1
2,9,2
2,10,1
2,11,1
2,12,1
2,13,1
2,14,1
2,15,2
2,16,1
2,17,1
2,18,1
2,19,1
2,20,1
2,21,1
2,22,1
2,23,1
2,24,2
2,25,1
2,27,1
2,28,1
2,29,1
3,4,1
3,16,1
3,17,1
3,19,1
3,20,1
3,21,1
3,22,1
3,24,1
4,16,1
4,17,1
4,19,1
4,20,1
4,21,1
4,22,1
4,24,1
5,16,1
5,23,1
5,25,1
5,30,1
5,31,1
5,32,1
6,7,1
6,9,3
6,10,1
6,11,1
6,12,1
6,13,2
6,14,2
6,15,3
6,20,1
6,23,1
6,24,1
6,25,1
6,26,1
6,27,2
6,28,2
6,29,1
6,33,1
6,34,1
6,35,1
6,36,1
7,8,1
7,18,1
7,33,2
8,18,1
9,10,1
9,11,1
9,12,1
9,13,2
9,14,1
9,15,2
9,20,1
9,23,1
9,24,1
9,25,1
9,26,1
9,27,1
9,28,1
9,29,2
9,37,1
10,11,1
10,12,1
10,13,1
10,14,1
10,15,1
10,28,1
11,12,1
11,13,2
11,14,2
11,15,1
11,28,1
12,13,3
12,14,2
12,15,1
12,28,1
13,14,3
13,15,1
13,28,1
13,36,1
14,15,1
14,28,1
14,38,1
15,23,1
15,24,1
15,25,1
15,27,1
15,28,1
15,29,1
15,32,1
16,17,1
16,19,1
16,20,1
16,21,1
16,22,1
16,24,1
16,39,1
16,40,1
16,41,1
16,42,1
17,19,1
17,20,1
17,21,1
17,22,1
17,24,1
17,30,1
17,39,1
17,40,1
17,43,1
17,44,1
17,53,1
18,35,1
18,54,1
18,55,1
18,56,1
19,20,1
19,21,1
19,22,1
19,24,1
19,29,1
20,21,1
20,22,1
20,24,1
21,22,1
21,24,1
21,48,1
21,57,1
21,58,1
21,59,1
22,24,1
22,57,1
22,58,1
23,24,1
23,25,1
23,27,1
23,29,1
23,48,1
24,25,1
24,27,1
24,29,1
25,27,1
25,29,1
26,29,1
29,31,1
29,62,1
29,63,1
30,39,1
30,40,1
30,43,1
30,44,1
35,38,1
35,54,1
35,55,1
35,56,2
39,40,1
39,43,1
40,43,1
43,48,1
44,45,1
45,46,1
45,47,1
45,48,1
45,49,1
45,50,1
45,51,1
45,52,1
46,49,1
46,50,1
46,51,1
46,52,1
48,49,1
48,50,1
48,51,1
48,52,1
48,58,1
48,60,1
48,61,1
49,50,1
49,51,1
49,52,1
50,51,1
50,52,1
51,52,1
54,55,1
54,56,1
55,56,1
57,58,1
58,60,1
62,63,1
